,locName,catName,distance
910,Premier Inn Glasgow hotel,Lodging,129
911,The Fullarton Park Hotel,Hotel,558
912,Elders,Bar,167
913,The Simon Comunity Hostel,Hostel,674
914,The Kimberley,Pub,679
915,Strathspey Bar,Bar,700
916,Waverley Bar,Bar,721
917,The cambus,Bar,780
918,The Bell's,Bar,791
919,"Premier Inn Glasgow - Cambuslang/M74, J2A",Hotel,137
920,Granny Gibbs Bar,Pub,69
921,Big Joint,Night Club,578
922,The Clubhouse,Sports Bar,695
923,McNabbs Lounge Bar,Pub,754
924,Manor Park Hotel,Hotel,925
925,Scotstoun 1 Bed Flat,Vacation Rental,361
926,Manor Park Guest House,Hotel,952
927,Enable Scottish Society For the Mentally Handicapped,Hostel,953
928,Iolair Limited,Cottage / Cabin,959
929,Kimpton Blythswood Square Hotel,Hotel,621
930,The Pot Still,Whisky Bar,834
931,The Butterfly & the Pig,Bar,747
932,The Smoking Fox,Bar,677
933,Stereo,Wine Bar,774
934,Hotel Motel One,Lodging,682
935,Nice N Sleazy,Night Club,677
936,The SSE Hydro,Concert Hall,965
937,Radisson RED Glasgow,Lodging,782
938,Hampton by Hilton Glasgow Central,Hotel,764
939,Quo Vadis,Bar,803
940,The Dunalastair Hotel Pitlochry,Hotel,962
